Name,Author,Rating,Reviews,Type,Price(USD),Year
Then She Was Gone: A Novel,Lisa Jewell,4.5,21965,Paperback,2.35,2019
The Pioneers: The Heroic Story of the Settlers Who Brought the American Ideal West,David McCullough,4.5,4288,Hardcover,18.95,2019
Wacky Waving Inflatable Tube Guy (RP Minis),Conor Riordan,4,18886,Paperback,7.82,2019
"Medical Medium Liver Rescue: Answers to Eczema, Psoriasis, Diabetes, Strep, Acne, Gout, Bloating, Gallstones, Adrenal Stress, Fatigue, Fatty Liver, Weight Issues, SIBO & Autoimmune Disease",Anthony William,4.7,7314,Hardcover,11.65,2019
"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",Valorie Schaefer,4.8,14156,Paperback,0.94,2019
There's No Place Like Space: All About Our Solar System (Cat in the Hat's Learning Library),Tish Rabe,4.8,12683,Hardcover,0.94,2019
How to Draw 101 Animals (1),Dan Green,4.7,11371,Paperback,0.9,2019
"Unicorn Activity Book for Kids Ages 4-8: A Fun Kid Workbook Game For Learning, Coloring, Dot To Dot, Mazes, Word Search and More!",Activity Slayer,4.7,5102,Paperback,0.94,2019
"Simply Keto: A Practical Approach to Health & Weight Loss, with 100+ Easy Low-Carb Recipes (1)",Suzanne Ryan,4.6,7071,Paperback,5.2,2019
The Outsiders,S. E. Hinton,4.8,15202,Paperback,0.94,2019
The Try Not to Laugh Challenge - Would Your Rather? - EWW Edition,Crazy Corey,4.6,7444,Paperback,1,2019
Becoming,Michelle Obama,4.8,87695,Hardcover,4.59,2018
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,24450,Hardcover,1.47,2018
The Wonky Donkey,Craig Smith,4.8,45329,Paperback,2.75,2018
Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,14704,Hardcover,11.1,2018
Fear: Trump in the White House,Bob Woodward,4.5,8280,Hardcover,0.99,2018
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,4.9,13154,Hardcover,1.35,2018
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,28189,Hardcover,9.99,2018
Magnolia Table,Joanna Gaines,4.8,14894,Hardcover,11.79,2018
Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,The Staff of The Late Show with,4.6,8161,Hardcover,0.94,2018
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,38397,Hardcover,5.88,2018
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,7384,Hardcover,10.3,2018
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,18691,Paperback,1.54,2018
Diary of a Wimpy Kid #13: Meltdown,Jeff Kinney,4.8,10747,Hardcover,0.02,2018
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,66271,Paperback,1.5,2018
First 100 Words,Roger Priddy,4.7,23921,Board book,0.18,2018
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,8554,Hardcover,1.14,2018
Educated: A Memoir,Tara Westover,4.7,40752,Hardcover,19.6,2018
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,21065,Paperback,0.76,2018
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",Dr. Steven R Gundry MD,4.4,9313,Hardcover,15.78,2018
Giraffes Can't Dance (Board Book),Giles Andreae,4.8,21055,Board book,0.94,2018
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,25004,Hardcover,24.99,2018
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,6032,Hardcover,13.81,2018
The Very Hungry Caterpillar,Eric Carle,4.9,31511,Board book,0.94,2018
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,7541,Paperback,0.35,2018
The Hate U Give,Angie Thomas,4.8,14762,Hardcover,2.96,2018
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.3,9290,Paperback,3.43,2018
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,38489,Paperback,1.11,2018
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,12417,Hardcover,1.84,2018
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,16777,Board book,1.25,2018
The Pout-Pout Fish,Deborah Diesen,4.9,14325,Board book,0.35,2018
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.5,11653,Paperback,16.44,2018
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,10540,Paperback,11.21,2018
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,15733,Board book,0.94,2018
"Oh, the Places You'll Go!",Dr. Seuss,4.9,17081,Hardcover,0.35,2018
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,8056,Hardcover,1.6,2018
Goodnight Moon,Margaret Wise Brown,4.9,13425,Board book,0.25,2018
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,11459,Hardcover,14.91,2018
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.6,7292,Paperback,0.94,2018
How to Win Friends & Influence People,Dale Carnegie,4.7,34503,Paperback,4.69,2018
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,11081,Hardcover,1.54,2018
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy Instant Pot Recipes.,Jennifer Smith,4.4,9974,Paperback,7.99,2018
Milk and Honey,Rupi Kaur,4.7,24832,Paperback,3.16,2018
Little Fires Everywhere,Celeste Ng,4.5,39349,Hardcover,1.51,2018
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,3533,Paperback,1.4,2018
The President Is Missing: A Novel,James Patterson,4.3,11933,Hardcover,19.85,2018
